Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 29162  Y 21463
X 29720  Y 18940
X 26603  Y 18904
X 29170  Y 16430
X 31744  Y 16390
X 29695  Y 14362
X 31744  Y 13831
X 26900  Y 13772
X 29185  Y 11272
X 31744  Y 8713
X 26603  Y 8668
X 29000  Y 8580
X 31744  Y 6154
X 29162  Y 6109
X 16100  Y 4200
X 29185  Y 3595
X 31744  Y 3595
X 31744  Y 1036
X 16100  Y 1000
X 35100  Y -5100
X 37200  Y -5200
X 24300  Y -6700
X 26900  Y -6700
X 29162  Y -9244
X 26900  Y -11818
X 27190  Y -14420
X 36700  Y -16300
X 27158  Y -16900
X 23970  Y -17910
X 31744  Y -18949
X 31744  Y -21508
X 31744  Y -24067
X 16300  Y -25500
X 38000  Y -26500
X 18826  Y -26567
X 26581  Y -26603
X 29140  Y -26603
X 21449  Y -26900
X 24300  Y -27000
X 24281  Y -29126
X 18803  Y -29140
X 29140  Y -29162
X 16400  Y -29200
X 21518  Y -29200
X 13840  Y -29200
X 23500  Y -46000
X 18800  Y -48700
X 28200  Y -50800
X 22400  Y -52300
X 17500  Y -54500
X 33500  Y -56000
X 26100  Y -56100
X 21500  Y -59600
X 19700  Y -61600
X 21600  Y -63900
X 32400  Y -69900
X 37700  Y -75200
X 27300  Y -89300
X 31200  Y -89800
X 31200  Y -92800
X 31900  Y -95400
X 30200  Y -97000
X 16416  Y -98148
X 32300  Y -100300
X 13393  Y -102088
X 15000  Y -108800
X 21704  Y -113540
X 35569  Y -115885
X 13300  Y -125400
X 16900  Y -127600
X 13700  Y -130700
X 59703  Y -144616
X 50067  Y -144616
X 46836  Y -140342
X 46836  Y -129112
X 47600  Y -126200
X 45700  Y -123700
X 43636  Y -120498
X 51237  Y -112795
X 56803  Y -110994
X 43900  Y -108000
X 45700  Y -100100
X 42223  Y -100018
X 47600  Y -98700
X 43900  Y -97900
X 51134  Y -88032
X 48417  Y -87868
X 55000  Y -85100
X 61600  Y -84200
X 57100  Y -83600
X 51700  Y -82900
X 56500  Y -77500
X 46400  Y -76400
X 46500  Y -67500
X 55300  Y -57700
X 53500  Y -55200
X 43800  Y -48000
X 45500  Y -46000
X 42900  Y -43500
X 40277  Y -42281
X 62630  Y -37730
X 60480  Y -34380
X 40400  Y -29400
X 47000  Y -26000
X 48800  Y -24800
X 45400  Y -23000
X 51000  Y -15500
X 51000  Y -12000
X 48000  Y 23000
X 50370  Y 23000
X 44500  Y 23500
X 49500  Y 28000
X 62400  Y 28600
X 52000  Y 30500
X 45500  Y 38000
X 56500  Y 39500
X 47500  Y 40000
X 49900  Y 64429
X 44478  Y 82197
X 41052  Y 85693
X 50101  Y 89197
X 46950  Y 93495
X 38999  Y 94939
X 46928  Y 95865
X 42388  Y 96273
X 42100  Y 98600
X 52063  Y 101146
X 52038  Y 105762
X 41819  Y 108805
X 52053  Y 110401
X 52072  Y 115219
X 47960  Y 124574
X 87916  Y 134717
X 79469  Y 125076
X 67061  Y 125040
X 69886  Y 115252
X 69890  Y 110544
X 69825  Y 105812
X 69899  Y 101146
X 70553  Y 86444
X 69168  Y 71990
X 70600  Y 55500
X 65100  Y 54000
X 70600  Y 52500
X 65240  Y 50550
X 70600  Y 49500
X 81600  Y 48100
X 65100  Y 47190
X 70500  Y 46500
X 85404  Y 43700
X 67000  Y 42000
X 81551  Y 41801
X 76100  Y 40000
X 76100  Y 37000
X 81500  Y 36500
X 81551  Y 29202
X 67100  Y 28000
X 87800  Y 27300
X 63500  Y 26500
X 81500  Y 22500
